index,title,random_sentence,simplified,url,categories,method
276,Rôle social,"Ces rôles sont les comportements attendus d’un individu (ou parfois d'une organisation), dans l’exercice d’une fonction qui renvoie au statut social.","Ces rôles sont les comportements attendus d’un individu ou organisation, dans l’exercice d’une fonction qui renvoie au statut social.",fr.wikipedia.org/wiki/R%C3%B4le_social,"Anthropologie, Article de Wikipédia avec notice d'autorité, Article manquant de références/Liste complète, Article manquant de références depuis janvier 2020, Concept sociologique, Jeu de rôle, Page pointant vers des bases externes, Page pointant vers des bases relatives à la santé, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P1296, Page utilisant P1417, Page utilisant P3219, Page utilisant P486, Portail:Anthropologie/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Sociologie/Articles liés, Portail:Société/Articles liés, Wikipédia:ébauche sociologie",Éviter les parenthèses et les incises
281,Sony Alpha 380,Le Sony Alpha 380 (typographié α 380) est un reflex d'entrée de gamme commercialisé à partir du premier trimestre 2009 par Sony.,Sony a commercialisé le reflex d'entrée de gamme Le Sony Alpha 380 (typographié α 380) à partir du premier trimestre 2009.,fr.wikipedia.org/wiki/Sony_Alpha_380,"Article avec une section vide ou incomplète, Article utilisant une Infobox, Catégorie Commons avec lien local identique sur Wikidata, Portail:Arts/Articles liés, Portail:Photographie/Articles liés, Produit lancé en 2009, Sony Alpha, Wikipédia:ébauche photographie",Formes actives au lieu de passives
313,Soldiers of Odin,Les Soldiers of Odin (SOO) est une organisation de patrouille de rue opposée à l'immigration formée en octobre 2015 à Kemi en Finlande par Mika Ranta.,"Mika Ranta a formé les Soldiers of Odin (SOO), une organisation de patrouille de rue opposée à l'immigration, en octobre 2015 à Kemi en Finlande.",fr.wikipedia.org/wiki/Soldiers_of_Odin,"Article avec une section vide ou incomplète, Article contenant un lien mort, Article utilisant l'infobox Organisation, Article utilisant une Infobox, Article à référence nécessaire, Auto-justice, Crise migratoire en Europe, Extrême droite en Amérique, Extrême droite en Europe, Organisation nationaliste blanche, Page géolocalisable sans coordonnées paramétrées, Page utilisant P1142, Page utilisant P1387, Page utilisant P17, Portail:Politique/Articles liés, Wikipédia:ébauche politique",Formes actives au lieu de passives
330,Bande-son,"Pour que la masse des bobines ne s'oppose pas aux saccades, il faut laisser entre elles et la fenêtre une boucle d'amortissement.","Pour que la masse des bobines suive les mouvements, il faut laisser entre elles et la fenêtre une boucle d'amortissement.",fr.wikipedia.org/wiki/Bande-son,"Article de Wikipédia avec notice d'autorité, Article à référence nécessaire, Article à référence souhaitée, Bande originale de film, Enregistrement sonore, Page pointant vers des bases externes, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P1417, Page utilisant P3365, Page utilisant P8313, Page utilisant un modèle Bases inactif, Portail:Art contemporain/Articles liés, Portail:Arts/Articles liés, Portail:Cinéma/Articles liés, Portail:Musique/Articles liés, Technique cinématographique",Propositions positives au lieu de négatives
357,Stade municipal de Bouna,"Le Stade municipal de Bouna est un stade de football qui se situe dans la ville de Bouna, au nord-est de la Côte d'Ivoire.",Le Stade municipal de Bouna est un stade de football au nord-est de la Côte d'Ivoire.,fr.wikipedia.org/wiki/Stade_municipal_de_Bouna,"Article avec une section vide ou incomplète, Article géolocalisé en Côte d'Ivoire, Article utilisant l'infobox Stade, Article utilisant une Infobox, Article à illustrer Stade, Page avec coordonnées similaires sur Wikidata, Page avec des cartes, Portail:Architecture et urbanisme/Articles liés, Portail:Côte d'Ivoire/Articles liés, Portail:Football/Articles liés, Portail:Sport/Articles liés, Stade de football en Côte d'Ivoire, Stade portant le nom d'une ville, Wikipédia:ébauche Côte d'Ivoire, Wikipédia:ébauche stade de football",Suppression des clauses complexes
359,Coopération interministérielle,"Elle peut impliquer des organismes (comités, commissions, délégations), des réunions, des instructions ou des corps interministériels.","Elle peut impliquer des organismes, des réunions, des instructions ou des corps interministériels.",fr.wikipedia.org/wiki/Coop%C3%A9ration_interminist%C3%A9rielle,"Administration publique, Article avec une section vide ou incomplète, Article contenant un appel à traduction en anglais, Ministère, Portail:Droit/Articles liés, Portail:Politique/Articles liés, Portail:Société/Articles liés, Wikipédia:ébauche droit, Wikipédia:ébauche politique",Éviter les parenthèses et les incises
361,Persée triomphant,Persée triomphant est une sculpture en marbre réalisée par l'artiste néo-classique italien Antonio Canova entre 1797 et 1801.,L'artiste néo-classique italien Antonio Canova a réalisé la sculpture en marbre Persée triomphant entre 1797 et 1801.,fr.wikipedia.org/wiki/Pers%C3%A9e_triomphant,"Article utilisant l'infobox Art, Article utilisant une Infobox, Histoire de la sculpture, Mythologie grecque dans la sculpture, Page utilisant P136, Page utilisant P170, Page utilisant P18, Page utilisant P186, Page utilisant P2048, Page utilisant P217, Page utilisant P276, Page utilisant P571, Page utilisant P941, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Arts/Articles liés, Portail:Catholicisme/Articles liés, Portail:Christianisme/Articles liés, Portail:Europe/Articles liés, Portail:Grèce antique/Articles liés, Portail:Histoire/Articles liés, Portail:Histoire de l'art/Articles liés, Portail:Metropolitan Museum of Art/Articles liés, Portail:Monde antique/Articles liés, Portail:New York/Articles liés, Portail:New York (État)/Articles liés, Portail:Néo-classicisme/Articles liés, Portail:Religions et croyances/Articles liés, Portail:Sculpture/Articles liés, Portail:Vatican/Articles liés, Portail:États-Unis/Articles liés, Sculpture conservée au Metropolitan Museum of Art, Sculpture d'Antonio Canova, Sculpture en marbre, Sculpture néo-classique, Œuvre conservée au musée Pio-Clementino, Œuvre d'art géolocalisable sans coordonnées paramétrées",Formes actives au lieu de passives
367,Biens communaux,"Pour le pacage, il ne faut pas confondre avec la vaine pâture qui s'effectue sur des terres appropriées.","Pour le pacage, il faut distinguer de la vaine pâture qui se fait sur des terres appropriées.",fr.wikipedia.org/wiki/Biens_communaux,"Agriculture, Ancien Droit, Article avec une section vide ou incomplète, Article contenant un appel à traduction en anglais, Article de Wikipédia avec notice d'autorité, Biens communs, Droit féodal, Page pointant vers des bases externes, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P3219, Page utilisant P8313, Page utilisant P902, Page utilisant le modèle Extrait, Page utilisant un modèle Bases inactif, Portail:Agriculture et agronomie/Articles liés, Portail:Biologie/Articles liés, Portail:Droit/Articles liés, Portail:Histoire/Articles liés, Portail:Société/Articles liés, Projet:Biologie/Pages liées",Propositions positives au lieu de négatives
379,Administrateur de la santé publique des États-Unis,Terry et son comité postulent cependant que l'usage de la cigarette contenant de la nicotine ne créait pas de dépendance.,Terry et son comité postulent cependant que l'usage de la cigarette contenant de la nicotine est sans dépendance.,fr.wikipedia.org/wiki/Administrateur_de_la_sant%C3%A9_publique_des_%C3%89tats-Unis,"Article contenant un appel à traduction en anglais, Article contenant un lien mort, Article utilisant une Infobox, Article à référence nécessaire, Département exécutif des États-Unis, Histoire militaire des États-Unis, Ministère de la Santé, Personnalité des Forces armées des États-Unis, Personnalité politique américaine, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Biologie/Articles liés, Portail:Droit/Articles liés, Portail:Forces armées des États-Unis/Articles liés, Portail:Histoire militaire/Articles liés, Portail:Médecine/Articles liés, Portail:Politique/Articles liés, Portail:Politique aux États-Unis/Articles liés, Portail:Sciences/Articles liés, Portail:Société/Articles liés, Portail:États-Unis/Articles liés, Santé aux États-Unis, Soins de santé aux États-Unis",Propositions positives au lieu de négatives
407,Mémoire auditive,"Elle permet de stocker des informations de nature auditive (sons, paroles…) pendant une période de temps brève (trois à quatre secondes).",Elle permet de stocker des informations de nature auditive pendant une période de temps brève.,fr.wikipedia.org/wiki/M%C3%A9moire_auditive,"Article manquant de références/Liste complète, Article manquant de références depuis mai 2016, Article à référence nécessaire, Concept de psychologie cognitive, Mémoire, Neurosciences, Ouïe, Portail:Biologie/Articles liés, Portail:Neurosciences/Articles liés, Portail:Psychologie/Articles liés, Portail:Sciences/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Projet:Biologie/Pages liées, Psychoacoustique, Wikipédia:ébauche neurosciences, Wikipédia:ébauche psychologie",Éviter les parenthèses et les incises
408,Martini Maccomo,"Son avis de décès dans le New York Herald, indique qu'il avait 31 ans, ce qui induit que son année de naissance entre 1835 et 1840 environ.","Son avis de décès dans le New York Herald, indique qu'il avait 31 ans.",fr.wikipedia.org/wiki/Martini_Maccomo,"Article utilisant l'infobox Biographie2, Article utilisant l'infobox Biographie2 avec la charte par défaut, Article utilisant une Infobox, Artiste de cirque, Bon article en anglais, Dompteur, Page utilisant P106, Page utilisant P18, Page utilisant P19, Page utilisant P20, Page utilisant P569, Page utilisant P570, Portail:Arts/Articles liés, Portail:Arts du spectacle/Articles liés, Portail:Biographie/Articles liés/Culture et arts, Portail:Biologie/Articles liés, Portail:Europe/Articles liés, Portail:Histoire/Articles liés, Portail:Histoire de la zoologie et de la botanique/Articles liés, Portail:Histoire des sciences/Articles liés, Portail:Royaume-Uni/Articles liés, Projet:Biologie/Pages liées, Wikipédia:Article biographique",Suppression des clauses complexes
410,Madeleine Laval,Madeleine Laval (née le 9 juin 1912 - morte le 2 juin 2002) est une germaniste et une traductrice française.,Madeleine Laval est une germaniste et une traductrice française.,fr.wikipedia.org/wiki/Madeleine_Laval,"Article de Wikipédia avec notice d'autorité, Article utilisant l'infobox Biographie2, Article utilisant l'infobox Biographie2 avec la charte spécialiste du langage, Article utilisant le modèle Dictionnaires inactif, Article utilisant une Infobox, Article à illustrer Biographie, Décès en juin 2002, E. T. A. Hoffmann, Enseignant de l'enseignement secondaire, Germaniste français, Naissance en juin 1912, Page utilisant P106, Page utilisant P19, Page utilisant P20, Page utilisant P26, Page utilisant P27, Page utilisant P569, Page utilisant P570, Page utilisant un modèle Bases inactif, Portail:Biographie/Articles liés/Culture et arts, Portail:Littérature/Articles liés, Portail:Société/Articles liés, Portail:Éducation/Articles liés, Traducteur depuis l'allemand vers le français, Traductrice française, Wikipédia:Article biographique, Wikipédia:ébauche traduction, Wikipédia:ébauche éducation",Éviter les parenthèses et les incises
420,Indianisation de l'Indonésie,Ils doivent alors justifier de cette plus grande richesse aux yeux de la société dans laquelle ils vivent.,Ils doivent alors justifier de cette plus grande richesse aux yeux de la société.,fr.wikipedia.org/wiki/Indianisation_de_l%27Indon%C3%A9sie,"Article contenant un appel à traduction en anglais, Article contenant un appel à traduction en portugais, Culture indienne, Histoire de l'Asie du Sud-Est, Histoire de l'Indonésie, Portail:Asie/Articles liés, Portail:Indonésie/Articles liés, Portail:Monde indien/Articles liés, Projet:Asie du Sud-Est/Articles liés, Wikipédia:ébauche culture",Suppression des clauses complexes
423,Opération de rénovation urbaine,"La mairie ouvre aussi une grande médiathèque dans le quartier de Grammont, ancien quartier des abattoirs.",La mairie ouvre une grande médiathèque dans le quartier de Grammont.,fr.wikipedia.org/wiki/Op%C3%A9ration_de_r%C3%A9novation_urbaine,"Article avec une section vide ou incomplète, Droit de l'urbanisme en France, Portail:Architecture et urbanisme/Articles liés, Portail:Droit/Articles liés, Portail:Droit français/Articles liés, Portail:Europe/Articles liés, Portail:France/Articles liés, Portail:Société/Articles liés, Renouvellement urbain",Élimination des informations non essentielles
430,Patricien (Moyen Âge et Temps modernes),Les patriciens étaient généralement membres des conseils municipaux et s'appropriaient les fonctions civiques les plus importantes.,Les patriciens étaient souvent membres des conseils de ville et prenaient les rôles publics les plus importants.,fr.wikipedia.org/wiki/Patricien_(Moyen_%C3%82ge_et_Temps_modernes),"Article contenant un appel à traduction en allemand, Article contenant un lien mort, Article de Wikipédia avec notice d'autorité, Groupe social, Page pointant vers des bases externes, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P5019, Page utilisant un modèle Bases inactif, Portail:Histoire/Articles liés, Portail:Moyen Âge/Articles liés",Substitution de mots complexes
434,Zubr (Biélorussie),Zubr signifie bison en référence au dernier peuplement de bison d'Europe qui ne survivent plus que dans une forêt entre la Pologne et la Biélorussie.,Zubr signifie bison en référence au dernier peuplement de bison d'Europe qui survivent uniquement dans une forêt entre la Pologne et la Biélorussie.,fr.wikipedia.org/wiki/Zubr_(Bi%C3%A9lorussie),"Article contenant un appel à traduction en anglais, Article contenant un appel à traduction en biélorusse, Article contenant un appel à traduction en orthographe classique biélorusse, Article contenant un appel à traduction en russe, Mouvement démocratique biélorusse, Politique en Biélorussie, Portail:Biélorussie/Articles liés, Portail:Europe/Articles liés, Portail:Politique/Articles liés, Wikipédia:ébauche Biélorussie, Wikipédia:ébauche politique",Propositions positives au lieu de négatives
438,Étude probabiliste de sûreté,"Cette méthode a été utilisée pour vérifier la sûreté des centrales nucléaires, qui repose sur une conception déterministe (Défense en profondeur).","On a utilisé cette méthode pour vérifier la sûreté des centrales nucléaires, qui repose sur une conception déterministe (Défense en profondeur).",fr.wikipedia.org/wiki/%C3%89tude_probabiliste_de_s%C3%BBret%C3%A9,"Industrie, Ingénierie, Portail:Industrie/Articles liés, Portail:Probabilités et statistiques/Articles liés, Portail:Sciences/Articles liés, Portail:Technologies/Articles liés, Portail:Économie/Articles liés, Projet:Mathématiques/Articles, Sûreté de fonctionnement, Wikipédia:ébauche sécurité",Formes actives au lieu de passives
440,Torm (entreprise),La société est cotée à Copenhague (elle est incluse dans l'indice OMX Copenhagen) et au NASDAQ de New York.,La société est cotée à Copenhague et au NASDAQ de New York.,fr.wikipedia.org/wiki/Torm_(entreprise),"Article contenant un appel à traduction en anglais, Article manquant de références/Liste complète, Article manquant de références depuis juin 2023, Article utilisant une Infobox, Article à illustrer Entreprise, Compagnie maritime, Entreprise ayant son siège à Copenhague, Industrie pétrolière au Danemark, Page utilisant P112, Page utilisant P127, Page utilisant P1454, Page utilisant P159, Page utilisant P414, Page utilisant P452, Page utilisant P571, Page utilisant P856, Page utilisant des données de Wikidata à traduire de l'anglais, Portail:Danemark/Articles liés, Portail:Entreprises/Articles liés, Portail:Europe/Articles liés, Portail:Maritime/Articles liés, Portail:Technologies/Articles liés, Portail:Économie/Articles liés, Portail:Énergie/Articles liés, Portail:Énergie fossile/Articles liés, Transport de l'énergie, Wikipédia:Pomme/Liste complète, Wikipédia:Pomme créée en 2015, Wikipédia:Pomme présentée sur le bistro en 2023",Éviter les parenthèses et les incises
455,Capitale de l'Italie,Rome ne devint la capitale définitive du royaume qu'en 1871 après la conquête du Latium et que le pape ne se soit réfugié au sein du Vatican.,Rome devint la capitale définitive du royaume en 1871 après la conquête du Latium et le refuge du pape au Vatican.,fr.wikipedia.org/wiki/Capitale_de_l%27Italie,"Article manquant de références/Liste complète, Article manquant de références depuis mars 2017, Article utilisant le modèle Dictionnaires inactif, Capitale en Europe, Page utilisant le modèle Autorité inactif, Page utilisant un modèle Bases inactif, Portail:Europe/Articles liés, Portail:Géographie/Articles liés, Portail:Histoire/Articles liés, Portail:Italie/Articles liés, Ville en Italie, Wikipédia:ébauche Italie, Wikipédia:ébauche géographie, Wikipédia:ébauche histoire",Propositions positives au lieu de négatives
461,Portrait de la journaliste Sylvia von Harden,"L’absence d’éléments décoratifs du fond accentue la « présence » forte du personnage, rien ne venant distraire le regard.","L’absence d’éléments décoratifs accentue la « présence » forte du personnage, concentrant entièrement le regard sur lui.",fr.wikipedia.org/wiki/Portrait_de_la_journaliste_Sylvia_von_Harden,"Article utilisant l'infobox Art, Article utilisant une Infobox, Article à illustrer Art, Cigarette dans la peinture, Nouvelle objectivité, Page pointant vers des bases externes, Page pointant vers des bases relatives aux beaux-arts, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P135, Page utilisant P136, Page utilisant P217, Page utilisant P6058, Page utilisant P6323, Page utilisant P6355, Page utilisant le modèle Autorité inactif, Portail:Allemagne/Articles liés, Portail:Années 1920/Articles liés, Portail:Art contemporain/Articles liés, Portail:Arts/Articles liés, Portail:Centre Pompidou/Articles liés, Portail:Entre-deux-guerres/Articles liés, Portail:Europe/Articles liés, Portail:France/Articles liés, Portail:Histoire/Articles liés, Portail:Paris/Articles liés, Portail:Peinture/Articles liés, Portail:XXe siècle/Articles liés, Portail:Époque contemporaine/Articles liés, Portail:Île-de-France/Articles liés, Portrait de femme, Tableau d'Otto Dix, Tableau réalisé en 1926, Œuvre conservée au musée national d'Art moderne",Propositions positives au lieu de négatives
466,Embauchoir,"Il existe également des embauchoirs simples, en plastique ou en métal embouti, avec ou sans ressort.",Il existe également des embauchoirs simples en plastique ou en métal embouti.,fr.wikipedia.org/wiki/Embauchoir,"Accessoire lié à la chaussure, Catégorie Commons avec lien local identique sur Wikidata, Portail:Culture/Articles liés, Portail:Mode/Articles liés, Portail:Technologies/Articles liés, Wikipédia:ébauche mode et vêtement",Élimination des informations non essentielles
478,DAZN,Le service est décrit par le Evening Standard comme l'une des rares « licornes » technologiques du Royaume-Uni.,Le Evening Standard décrit le service comme l'une des rares « licornes » technologiques du Royaume-Uni.,fr.wikipedia.org/wiki/DAZN,"Article utilisant une Infobox, Article à illustrer Entreprise, Chaîne de télévision sportive, Entreprise fondée en 2016, Page utilisant P127, Page utilisant P159, Page utilisant P571, Page utilisant P856, Portail:Entreprises/Articles liés, Portail:Informatique/Articles liés, Portail:Internet/Articles liés, Portail:Médias/Articles liés, Portail:Société/Articles liés, Portail:Sport/Articles liés, Portail:Économie/Articles liés, Vidéo à la demande, Wikipédia:ébauche Internet, Wikipédia:ébauche entreprise, Wikipédia:ébauche sport",Formes actives au lieu de passives
489,Front haut,"Cette coiffure était en vogue au Moyen Âge chez les femmes de la noblesse européenne, et constituait alors un critère de beauté.",Cette coiffure était en vogue au Moyen Âge chez les femmes de la noblesse européenne.,fr.wikipedia.org/wiki/Front_haut,"Mode gabber, Portail:Culture/Articles liés, Portail:Gabber/Articles liés, Portail:Histoire/Articles liés, Portail:Mode/Articles liés, Portail:Moyen Âge/Articles liés, Portail:Musique électronique/Articles liés, Portail:Médias/Articles liés, Portail:Pays-Bas/Articles liés, Type de coiffure, Wikipédia:ébauche Moyen Âge, Wikipédia:ébauche gabber, Wikipédia:ébauche mode et vêtement",Élimination des informations non essentielles
500,Culture de Sao Tomé-et-Principe,"Les pratiques sociales, rituels et événements festifs relèvent (pour partie) du patrimoine culturel immatériel de l'humanité.","Les pratiques sociales, rituels et événements festifs relèvent du patrimoine culturel immatériel de l'humanité.",fr.wikipedia.org/wiki/Culture_de_Sao_Tom%C3%A9-et-Principe,"Article avec une section vide ou incomplète, Article contenant un appel à traduction en anglais, Catégorie Commons avec lien local identique sur Wikidata, Culture santoméenne, Portail:Afrique/Articles liés, Portail:Culture/Articles liés, Portail:Lusophonie/Articles liés, Portail:Sao Tomé-et-Principe/Articles liés, Wikipédia:ébauche Sao Tomé-et-Principe, Wikipédia:ébauche culture",Éviter les parenthèses et les incises
501,Le Père Goriot,"Ce personnage, que Balzac appelait une « colonne vertébrale » de La Comédie humaine, apparaît pour la première fois dans ce roman.",Ce personnage de La Comédie humaine apparaît pour la première fois dans ce roman.,fr.wikipedia.org/wiki/Le_P%C3%A8re_Goriot,,Suppression des clauses complexes
502,Carl Sagan,"La sonde Phoenix, qui a quitté la Terre le 4 août 2007, a emporté à son bord un message audio de Carl Sagan destiné aux futurs colons de la planète Mars.",La sonde Phoenix a quitté la Terre le 4 août 2007 avec un message audio de Carl Sagan pour les futurs colons de la planète Mars.,fr.wikipedia.org/wiki/Carl_Sagan,,Transformation des propositions relatives
503,Moby-Dick,"Melville, qui fut lui aussi marin, et notamment baleinier de 1840 à 1842, comme la plupart des héros de ses romans, s'est inspiré de faits réels.","Melville, un marin et baleinier de 1840 à 1842, s'inspire de faits réels dans ses romans.",fr.wikipedia.org/wiki/Moby-Dick,,Suppression des clauses complexes
504,Océan Pacifique,"Le qualificatif de Pacifique est donné à cet océan par le navigateur portugais Fernand de Magellan en 1520, en raison des eaux calmes qu'il y rencontre.",Le navigateur portugais Fernand de Magellan a nommé cet océan 'Pacifique' en 1520 pour ses eaux calmes.,fr.wikipedia.org/wiki/Oc%C3%A9an_Pacifique,,Suppression des clauses complexes
505,Matrix (film),Neo prend la décision d'aller les affronter pour sauver Morpheus mais au mépris de sa vie après une longue course-poursuite.,"Neo décide d'affronter les ennemis pour sauver Morpheus, risquant sa vie.",fr.wikipedia.org/wiki/Matrix_(film),,Suppression des clauses complexes
506,Tunnelier,Un tunnelier est une machine permettant d'excaver des tunnels dans des sols et des roches variées allant du sable au granite.,"Un tunnelier est une machine qui creuse des tunnels dans différents types de sols, du sable au granite.",fr.wikipedia.org/wiki/Tunnelier,,Substitution de mots complexes
507,Parapente,"Le parapente est un aéronef dérivé du parachute, permettant la pratique du vol libre ou du paramoteur.","Le parapente, dérivé du parachute, permet le vol libre ou le paramoteur.",fr.wikipedia.org/wiki/Parapente,,Omission des mots redondants
508,"Titanic (film, 1997)","Intégrant à la fois des aspects historiques et fictifs, le film est basé sur le récit du naufrage du RMS Titanic et met en vedette Leonardo DiCaprio et Kate Winslet.","Mélangeant histoire et fiction, le film raconte le naufrage du Titanic et met en avant Leonardo DiCaprio et Kate Winslet.","fr.wikipedia.org/wiki/Titanic_(film,_1997)",,Substitution de mots complexes
509,Langues sémitiques,"L’existence des langues sémitiques remonte à plus de quatre millénaires, avec l’akkadien et l’ougaritique.","Les langues sémitiques existent depuis plus de quatre millénaires, avec l’akkadien et l’ougaritique.",fr.wikipedia.org/wiki/Langues_sémitiques,,Omission des mots redondants
510,Rodion Raskolnikov,Une lettre reçue de sa mère change la donne : elle lui écrit que le mariage de sa sœur est prévu bientôt avec un certain Loujine.,"Une lettre de sa mère révèle que sa sœur va bientôt épouser un certain Loujine, changeant ses plans",fr.wikipedia.org/wiki/Rodion_Raskolnikov,,Transformation des propositions relatives
511,Révolution française,Le roi doit consentir à quitter Versailles (qu'il ne reverra jamais) et est escorté par la foule à Paris.,Le roi consent à quitter Versailles et est escorté à Paris.,fr.wikipedia.org/wiki/Révolution_française,,Éviter les parenthèses et les incises
512,Manga,"Les manga ont fortement influencé la culture japonaise dans le domaine de l'animation, de la musique et du jeu vidéo.","Les mangas ont influencé la culture japonaise dans l'animation, la musique et les jeux vidéo.",fr.wikipedia.org/wiki/Manga,,Omission des mots redondants
513,Histoire d'Internet,La somme de tous ces développements conduisit au « réseau des réseaux » (network of networks) que nous connaissons aujourd’hui en tant qu'Internet.,"Tous ces développements ont abouti à l'Internet, également connu sous le nom de « réseau des réseaux.",fr.wikipedia.org/wiki/Histoire_d%27Internet,,Omission des mots redondants
514,Dualité onde-corpuscule,Ce principe met en évidence le caractère fondamentalement probabiliste de la mécanique quantique.,Ce principe montre que la mécanique quantique est fondamentalement probabiliste.,fr.wikipedia.org/wiki/Dualité_onde-corpuscule,,Substitution de mots complexes
515,Cuisine méditerranéenne,"Divers auteurs ont souhaité définir la portée de la cuisine méditerranéenne soit par la géographie, soit par ses ingrédients de base.",Divers auteurs ont défini la cuisine méditerranéenne par sa géographie ou ses ingrédients de base.,fr.wikipedia.org/wiki/Cuisine_méditerranéenne,,Omission des mots redondants
516,Chirurgie,"Il n'y a plus qu'un enseignement unique comprenant la médecine, la chirurgie et les accouchements.","L'enseignement est désormais unifié, incluant médecine, chirurgie et accouchements.",fr.wikipedia.org/wiki/Chirurgie,,Suppression des clauses complexes
517,Amazone (fleuve),Il est le plus grand fleuve du monde en termes de débit d'eau et l'un des plus grands en termes de longueur.,C'est le plus grand fleuve du monde en débit d'eau et l'un des plus longs.,fr.wikipedia.org/wiki/Amazone_(fleuve),,Omission des mots redondants
